연번,인허가관할기관,업소명,업종,업태,업소주소,영업상태
31075,인천광역시 서구,정원식당,일반음식점,호프/통닭,"인천광역시 서구 완정로 150(마전동, 2층)",정상
31076,인천광역시 서구,정원한식부페,일반음식점,한식,"인천광역시 서구 백범로630번길 22(가좌동,인천축산물백화점 107,108,117호)",정상
31077,인천광역시 서구,정육돈쓰리,일반음식점,식육(숯불구이),"인천광역시 서구 신석로 71(석남동,월드메르디앙상가 105호)",정상
31078,인천광역시 서구,정육백화점생고기구이,일반음식점,기타,인천광역시 서구 면개포로 7(석남동),정상
31079,인천광역시 서구,정이품 쭈꾸미,일반음식점,기타,"인천광역시 서구 길주로75번길 35(석남동,태우상가 107호)",정상
31080,인천광역시 서구,정이품쭈꾸미,일반음식점,한식,인천광역시 서구 청라루비로42번길 5-10(1층 청라동),정상
31081,인천광역시 서구,정인족발,일반음식점,식육(숯불구이),"인천광역시 서구 승학로 509(서교빌딩동 103호 검암동, 598-11 서교빌딩 103호)",정상
31082,인천광역시 서구,정일품뼈해장국,일반음식점,한식,인천광역시 서구 청라한내로 96(206호 청라동),정상
31083,인천광역시 서구,정전,일반음식점,한식,인천광역시 서구 서곶로 543(살리텍빌딩 B02호 검암동),정상
31084,인천광역시 서구,정정아 식당,일반음식점,한식,"인천광역시 서구 완정로10번길 15(1층 마전동, 선화프라자)",정상
31085,인천광역시 서구,정정아식당,일반음식점,한식,"인천광역시 서구 승학로 507(장한프라자 103,104호 검암동)",정상
31086,인천광역시 서구,정정아식당,일반음식점,한식,인천광역시 서구 검단로 465(검단보림빌딩 2층 왕길동),정상
31087,인천광역시 서구,정지현꽃게장,일반음식점,한식,인천광역시 서구 완정로10번길 12(정화빌딩 1층 마전동),정상
31088,인천광역시 서구,정직한푸드 서구1호점,일반음식점,한식,인천광역시 서구 새오개로111번안길 29(103호일부 신현동),정상
31089,인천광역시 서구,정참치,일반음식점,회집,인천광역시 서구 율도로65번길 38(1층 일부호 신현동),정상
31090,인천광역시 서구,정통춘천닭갈비,일반음식점,한식,인천광역시 서구 봉오재3로94번길 11(MK타워 118ㆍ119호 가정동),정상
31091,인천광역시 서구,정포차,일반음식점,정종/대포집/소주방,인천광역시 서구 율도로77번길 34-1(1층 일부 신현동),정상
31092,인천광역시 서구,정푸드,일반음식점,경양식,인천광역시 서구 검단로 421(원흥아파트 상가동 103호 왕길동),정상
31093,인천광역시 서구,제3식당,일반음식점,경양식,"인천광역시 서구 청라커낼로 300(판매5동 201,202호 청라동, 청라센트럴에일린의뜰)",정상
31094,인천광역시 서구,제스트,일반음식점,호프/통닭,"인천광역시 서구 장고개로 281(가좌동,2층)",정상
31095,인천광역시 서구,제육대가 청라점,일반음식점,한식,인천광역시 서구 청라에메랄드로 147-1(1층일부 청라동),정상
31096,인천광역시 서구,제육대가(검단점),일반음식점,한식,인천광역시 서구 검단로487번길 29(1층 107호 마전동),정상
31097,인천광역시 서구,제이L푸드,일반음식점,분식,인천광역시 서구 여우재로 110(101호 가좌동),정상
